nome_do_teste,reference_filename,distorted_filename,trial_index,rating_0_10,timestamp
teste2,reference_lossless.mp4,H264_500kbps.mp4,1,1,2026-01-01T19:18:05.265843
teste2,reference_lossless.mp4,H265_1000kbps.mp4,2,8,2026-01-01T19:18:33.736352
teste2,reference_lossless.mp4,H265_4000kbps.mp4,3,8,2026-01-01T19:18:51.557195
teste2,reference_lossless.mp4,H264_8000kbps.mp4,4,9,2026-01-01T19:19:09.508577
teste2,reference_lossless.mp4,H265_500kbps.mp4,5,3,2026-01-01T19:19:27.782654
teste2,reference_lossless.mp4,H264_1000kbps.mp4,6,2,2026-01-01T19:19:41.423245
teste2,reference_lossless.mp4,H265_2000kbps.mp4,7,8,2026-01-01T19:20:02.042350
teste2,reference_lossless.mp4,H264_4000kbps.mp4,8,7,2026-01-01T19:20:23.481302
teste2,reference_lossless.mp4,H265_8000kbps.mp4,9,10,2026-01-01T19:20:43.781150
teste2,reference_lossless.mp4,H264_2000kbps.mp4,10,7,2026-01-01T19:21:02.422700
